feature_set,features,fold,model,train_rows,validation_rows,accuracy,balanced_accuracy,macro_f1,recall_adelie,recall_chinstrap,recall_gentoo
bill_length_only,bill_length_mm,1,logistic_regression,275,69,0.753623,0.625641,0.590997,1.0,0.076923,0.8
bill_length_only,bill_length_mm,1,knn,275,69,0.681159,0.561555,0.542284,0.967742,0.076923,0.64
bill_length_only,bill_length_mm,2,logistic_regression,275,69,0.73913,0.624168,0.583277,0.967742,0.071429,0.833333
bill_length_only,bill_length_mm,2,knn,275,69,0.73913,0.637225,0.613963,0.935484,0.142857,0.833333
bill_length_only,bill_length_mm,3,logistic_regression,275,69,0.710145,0.60381,0.57163,0.9,0.071429,0.84
bill_length_only,bill_length_mm,3,knn,275,69,0.724638,0.669524,0.67037,0.9,0.428571,0.68
bill_length_only,bill_length_mm,4,logistic_regression,275,69,0.73913,0.62,0.555085,0.9,0.0,0.96
bill_length_only,bill_length_mm,4,knn,275,69,0.695652,0.645079,0.646459,0.866667,0.428571,0.64
bill_length_only,bill_length_mm,5,logistic_regression,276,68,0.779412,0.64,0.573947,1.0,0.0,0.92
bill_length_only,bill_length_mm,5,knn,276,68,0.823529,0.753846,0.764347,1.0,0.461538,0.8
bill_depth_only,bill_depth_mm,1,logistic_regression,275,69,0.797101,0.655914,0.597068,0.967742,0.0,1.0
bill_depth_only,bill_depth_mm,1,knn,275,69,0.753623,0.668321,0.66386,0.774194,0.230769,1.0
bill_depth_only,bill_depth_mm,2,logistic_regression,275,69,0.782609,0.652778,0.594639,1.0,0.0,0.958333
bill_depth_only,bill_depth_mm,2,knn,275,69,0.768116,0.691116,0.697196,0.870968,0.285714,0.916667
bill_depth_only,bill_depth_mm,3,logistic_regression,275,69,0.710145,0.593333,0.536577,0.9,0.0,0.88
bill_depth_only,bill_depth_mm,3,knn,275,69,0.666667,0.598095,0.58832,0.7,0.214286,0.88
bill_depth_only,bill_depth_mm,4,logistic_regression,275,69,0.753623,0.626667,0.568713,1.0,0.0,0.88
bill_depth_only,bill_depth_mm,4,knn,275,69,0.811594,0.721905,0.734177,1.0,0.285714,0.88
bill_depth_only,bill_depth_mm,5,logistic_regression,276,68,0.735294,0.608889,0.547504,0.866667,0.0,0.96
bill_depth_only,bill_depth_mm,5,knn,276,68,0.705882,0.642564,0.640506,0.7,0.307692,0.92
both_bill_measurements,bill_length_mm|bill_depth_mm,1,logistic_regression,275,69,0.942029,0.897436,0.916157,1.0,0.692308,1.0
both_bill_measurements,bill_length_mm|bill_depth_mm,1,knn,275,69,0.942029,0.909744,0.920694,1.0,0.769231,0.96
both_bill_measurements,bill_length_mm|bill_depth_mm,2,logistic_regression,275,69,0.985507,0.986111,0.981414,1.0,1.0,0.958333
both_bill_measurements,bill_length_mm|bill_depth_mm,2,knn,275,69,0.971014,0.975358,0.970661,0.967742,1.0,0.958333
both_bill_measurements,bill_length_mm|bill_depth_mm,3,logistic_regression,275,69,0.956522,0.94127,0.94657,0.966667,0.857143,1.0
both_bill_measurements,bill_length_mm|bill_depth_mm,3,knn,275,69,0.956522,0.94127,0.94657,0.966667,0.857143,1.0
both_bill_measurements,bill_length_mm|bill_depth_mm,4,logistic_regression,275,69,0.884058,0.858095,0.856905,0.9,0.714286,0.96
both_bill_measurements,bill_length_mm|bill_depth_mm,4,knn,275,69,0.971014,0.965079,0.965079,0.966667,0.928571,1.0
both_bill_measurements,bill_length_mm|bill_depth_mm,5,logistic_regression,276,68,0.955882,0.935385,0.940392,1.0,0.846154,0.96
both_bill_measurements,bill_length_mm|bill_depth_mm,5,knn,276,68,0.955882,0.947692,0.942555,1.0,0.923077,0.92
