fold,model,train_rows,validation_rows,train_validation_overlap_rows,shuffled_accuracy,observed_accuracy,observed_minus_shuffled_accuracy,shuffled_balanced_accuracy,observed_balanced_accuracy,observed_minus_shuffled_balanced_accuracy,shuffled_macro_f1,observed_macro_f1,observed_minus_shuffled_macro_f1,shuffled_recall_adelie,shuffled_recall_chinstrap,shuffled_recall_gentoo
1,logistic_regression,275,69,0,0.521739,0.942029,0.42029,0.4,0.897436,0.497436,0.328655,0.916157,0.587502,1.0,0.0,0.2
1,knn,275,69,0,0.391304,0.942029,0.550725,0.318114,0.909744,0.59163,0.29537,0.920694,0.625324,0.677419,0.076923,0.2
2,logistic_regression,275,69,0,0.347826,0.985507,0.637681,0.276882,0.986111,0.709229,0.241171,0.981414,0.740243,0.580645,0.0,0.25
2,knn,275,69,0,0.347826,0.971014,0.623188,0.283154,0.975358,0.692204,0.275556,0.970661,0.695105,0.516129,0.0,0.333333
3,logistic_regression,275,69,0,0.42029,0.956522,0.536232,0.322222,0.94127,0.619048,0.197279,0.94657,0.749291,0.966667,0.0,0.0
3,knn,275,69,0,0.289855,0.956522,0.666667,0.249841,0.94127,0.691429,0.224886,0.94657,0.721684,0.566667,0.142857,0.04
4,logistic_regression,275,69,0,0.434783,0.884058,0.449275,0.333333,0.858095,0.524762,0.20202,0.856905,0.654885,1.0,0.0,0.0
4,knn,275,69,0,0.376812,0.971014,0.594202,0.323175,0.965079,0.641904,0.302711,0.965079,0.662368,0.666667,0.142857,0.16
5,logistic_regression,276,68,0,0.426471,0.955882,0.529411,0.34,0.935385,0.595385,0.299824,0.940392,0.640568,0.7,0.0,0.32
5,knn,276,68,0,0.485294,0.955882,0.470588,0.403419,0.947692,0.544273,0.389852,0.942555,0.552703,0.733333,0.076923,0.4
